film,horizon,diffusion_steps,guidance_weight,ensemble_temperature,mean_return
True,64,40,0.7,0.0,3103.796030483572
True,64,40,0.7,-1.0,3078.728671788764
False,64,10,0.7,0.0,3060.785256390633
False,64,40,0.5,0.5,3037.1578800821735
False,64,40,0.7,0.5,3029.0462770595836
False,64,40,1.5,1.0,3012.663936774126
False,64,20,0.5,-1.0,2987.9904673410438
False,64,10,0.7,-1.0,2973.6874331314552
False,32,20,0.5,1.0,2962.859677238108
False,64,10,1.5,-1.0,2959.079911340932
False,64,20,3.0,1.0,2949.1887724465214
False,32,20,0.7,0.5,2944.0474447372985
False,64,10,0.5,0.0,2905.4568906757277
False,64,20,0.5,0.0,2897.702921838006
False,64,10,0.5,-1.0,2892.054147470641
False,64,40,0.7,1.0,2851.0630546549805
False,64,20,0.7,0.0,2849.495221926595
False,64,20,0.7,1.0,2821.1578500716128
True,64,40,1.5,0.5,2811.2604919932373
False,64,40,0.5,1.0,2797.682922372404
False,64,20,0.7,-1.0,2793.253872495619
False,64,40,0.5,0.0,2785.8936877921324
False,32,40,0.7,-1.0,2774.1752426149424
False,32,20,0.5,0.5,2768.1279045617575
False,32,20,0.5,-1.0,2749.9663962952095
False,32,20,0.7,1.0,2727.552761746838
True,64,40,1.5,1.0,2698.60138516038
True,32,10,1.5,0.0,2690.699339109074
False,32,40,0.5,0.0,2678.567907107231
False,32,20,0.7,0.0,2662.6874145791166
False,64,40,1.5,0.5,2661.0777652464108
False,64,20,1.5,0.0,2660.1349203964205
False,32,20,0.7,-1.0,2649.0326681086945
False,64,40,0.7,-1.0,2642.796123559543
False,32,20,0.5,0.0,2633.4771446082327
False,64,40,0.7,0.0,2618.1772837404415
True,64,40,1.5,-1.0,2612.390821423275
True,64,40,1.5,0.0,2608.3729426550026
False,64,40,0.5,-1.0,2600.8853811705335
False,64,40,1.5,-1.0,2595.7959837694407
False,32,40,0.7,0.0,2589.5537008168303
False,32,40,0.5,-1.0,2584.8243541090706
True,32,40,1.5,1.0,2569.7289898876234
False,64,40,1.5,0.0,2565.4099449666037
True,32,10,1.5,-1.0,2469.3918996915163
True,32,10,1.5,1.0,2466.014742237623
False,64,20,1.5,-1.0,2432.5523856740074
True,32,20,1.5,0.0,2430.2167525787063
True,64,10,3.0,0.0,2416.950447536653
True,32,40,1.5,0.0,2403.0144569878244
False,64,20,1.5,0.5,2385.2580045175196
True,64,10,3.0,1.0,2383.361473166952
True,32,10,1.5,0.5,2370.374421510977
True,64,10,3.0,-1.0,2368.9796852480563
True,32,40,1.5,0.5,2368.376604480654
True,32,20,1.5,1.0,2325.132085167841
False,32,40,0.5,0.5,2324.6565045672596
True,64,10,3.0,0.5,2317.6013702470686
True,32,40,1.5,-1.0,2310.4378996099927
True,64,20,1.5,1.0,2306.9863689972517
True,32,20,1.5,-1.0,2297.618841697878
True,64,20,1.5,-1.0,2292.078779261699
False,32,40,0.5,1.0,2238.102297931591
True,64,10,1.5,0.0,2222.015620906484
True,32,20,1.5,0.5,2216.255144679905
False,32,40,0.7,0.5,2196.981775939067
True,64,20,1.5,0.0,2188.697724270434
True,64,20,1.5,0.5,2170.8994571002713
True,64,10,1.5,-1.0,2146.020355116483
False,16,20,3.0,0.0,2142.488463267202
False,32,40,0.7,1.0,2120.7150846278896
False,32,40,1.5,0.0,2104.837621810987
False,64,40,3.0,0.0,2098.672207176688
True,64,10,1.5,1.0,2094.5030045753088
False,64,40,3.0,-1.0,2049.875755937792
False,16,20,1.5,-1.0,2029.3675442927724
False,16,20,1.5,1.0,2028.9072411463642
False,64,20,3.0,-1.0,2026.3594916024515
False,32,40,3.0,0.0,2004.660126382622
False,32,40,3.0,-1.0,1998.6785384844343
True,64,10,1.5,0.5,1996.4209478060106
False,64,20,3.0,0.0,1972.1803575067358
False,16,10,0.7,0.0,1966.4864031227353
False,64,40,3.0,1.0,1956.6173821413206
False,16,40,0.7,1.0,1955.7956372500234
False,32,10,0.7,-1.0,1949.8871060685515
False,16,10,0.7,-1.0,1946.7520934370216
False,16,20,3.0,-1.0,1933.8742660073685
False,32,20,1.5,-1.0,1932.720727154829
False,16,40,1.5,-1.0,1902.768132474318
False,32,20,1.5,0.0,1888.5465048212968
False,16,20,1.5,0.0,1876.4532102256562
False,16,40,1.5,0.0,1872.077517352417
False,64,20,1.5,1.0,1853.8387546822432
False,16,40,0.7,0.5,1835.3839329321481
False,16,20,1.5,0.5,1827.6735669036452
False,32,10,0.5,-1.0,1805.391791295009
False,16,40,0.7,-1.0,1804.0194382788948
False,16,40,3.0,-1.0,1802.5257235118088
False,16,10,0.7,1.0,1801.2903074090825
False,16,20,0.7,0.0,1789.7873197768765
False,32,20,1.5,1.0,1774.6908352068633
False,32,40,1.5,-1.0,1774.2290607451857
False,16,20,0.7,-1.0,1755.4955205949109
True,32,10,3.0,-1.0,1753.2054655431814
True,32,10,3.0,0.5,1747.5311178012696
False,16,20,0.5,0.0,1746.4295568016898
False,16,10,1.5,0.0,1735.9975621493159
False,32,10,0.5,0.0,1726.4790511138428
False,16,20,0.5,1.0,1713.9860705318997
False,16,40,0.7,0.0,1702.7698293270796
False,16,10,1.5,0.5,1697.7931007701345
False,16,20,0.5,-1.0,1691.1490810568073
False,16,10,0.5,0.0,1688.5806051352608
False,16,10,1.5,1.0,1685.80950547365
False,32,10,0.5,1.0,1670.0304556181447
False,16,20,0.5,0.5,1661.5353724872405
True,64,40,3.0,0.5,1659.3280560326248
False,16,10,0.5,0.5,1651.2921600823074
False,16,20,3.0,1.0,1642.6893380903173
False,32,10,0.5,0.5,1638.6529673525738
False,16,10,1.5,-1.0,1637.5188319696363
False,16,10,0.5,-1.0,1636.3638751723659
True,32,20,3.0,0.5,1632.5453992482114
False,16,40,3.0,0.0,1631.4461463602108
False,16,20,0.7,1.0,1626.702194606135
False,32,20,3.0,-1.0,1624.5754778332753
False,16,40,1.5,1.0,1615.9275721441184
False,32,10,0.7,1.0,1615.5484510515507
False,16,20,0.7,0.5,1602.4271052237057
False,32,10,0.7,0.0,1601.0440287609076
False,32,20,3.0,0.0,1594.5869874163611
False,16,40,0.5,0.0,1592.9560552861578
True,64,40,3.0,-1.0,1590.4338808550483
True,64,40,3.0,1.0,1586.016458724105
False,16,10,0.7,0.5,1584.540800166906
False,16,40,0.5,-1.0,1579.8588965973947
True,32,20,3.0,1.0,1558.6511541748403
False,16,20,3.0,0.5,1552.364829885615
False,16,40,0.5,1.0,1545.2847246706056
True,64,40,3.0,0.0,1541.6117157933663
True,32,10,3.0,0.0,1519.5752102818226
False,64,10,3.0,-1.0,1485.690344191007
True,32,40,3.0,0.5,1473.2038148635422
False,32,20,1.5,0.5,1471.2920714837514
False,16,40,0.5,0.5,1464.336225964149
False,16,10,0.5,1.0,1449.5102585949694
False,32,20,3.0,1.0,1449.0072378197824
True,32,40,3.0,1.0,1392.5024364855778
False,64,10,3.0,0.0,1357.836715273954
True,32,10,3.0,1.0,1357.2418200790344
False,16,40,3.0,1.0,1323.1206535482127
False,32,40,1.5,1.0,1240.6061046462162
False,32,10,0.7,0.5,1211.5311671313918
False,64,40,3.0,0.5,1193.3696176022029
False,64,10,3.0,1.0,1168.137231714489
False,16,40,1.5,0.5,1150.9392728368994
False,16,40,3.0,0.5,1142.2757035654386
False,32,10,3.0,-1.0,1135.0991415926928
True,32,40,3.0,-1.0,1133.2187763956458
True,32,40,3.0,0.0,1110.0753899081203
False,32,20,3.0,0.5,1067.6777790986225
False,32,10,3.0,0.0,1061.6589988285314
True,64,20,3.0,1.0,1020.5521258848406
True,32,20,3.0,0.0,1004.2845577445805
True,32,20,3.0,-1.0,930.9084948049224
False,16,10,3.0,0.0,919.4037389004699
True,64,20,3.0,0.5,915.6371711106618
False,32,10,1.5,0.5,915.4402236458502
False,64,10,3.0,0.5,893.4260126203039
False,32,10,1.5,-1.0,860.6160978475367
False,32,10,1.5,0.0,822.6612695566877
False,32,40,3.0,1.0,816.3401646811549
False,16,10,3.0,-1.0,784.9182296727008
False,32,40,3.0,0.5,776.4054062368309
False,32,10,3.0,1.0,752.7113079226441
True,64,20,3.0,0.0,746.1750105976146
True,64,20,3.0,-1.0,705.0314088648729
False,32,40,1.5,0.5,617.8576290905343
False,32,10,1.5,1.0,599.4060054987385
False,32,10,3.0,0.5,540.0460767888509
False,16,10,3.0,1.0,476.3649754613648
False,16,10,3.0,0.5,442.97172513875955
